record_uid,activity_name,subject_row_index,subject_id,recording_id,activity_reps,incomplete_data,master_sample_rows
singleonly_subject001_Chest_Press_(rack)_record0001,Chest Press (rack),1,3,735181.59707175929,20,0,1746
singleonly_subject001_Chest_Press_(rack)_record0002,Chest Press (rack),1,3,735220.42857638886,15,0,1624
singleonly_subject007_Chest_Press_(rack)_record0001,Chest Press (rack),7,81,735216.39157407405,20,0,4017
singleonly_subject016_Chest_Press_(rack)_record0001,Chest Press (rack),16,10004,735181.44266203709,20,0,2244
singleonly_subject017_Chest_Press_(rack)_record0001,Chest Press (rack),17,10005,735180.57965277776,15,0,1865
singleonly_subject033_Chest_Press_(rack)_record0001,Chest Press (rack),33,502,735209.63335648144,22,0,2185
singleonly_subject035_Chest_Press_(rack)_record0001,Chest Press (rack),35,512,735207.56969907403,19,0,1704
singleonly_subject052_Chest_Press_(rack)_record0001,Chest Press (rack),52,526,735203.45534722228,10,0,1095
singleonly_subject052_Chest_Press_(rack)_record0002,Chest Press (rack),52,526,735203.45534722228,10,0,814
singleonly_subject052_Chest_Press_(rack)_record0003,Chest Press (rack),52,526,735203.45534722228,10,0,1117
singleonly_subject058_Chest_Press_(rack)_record0001,Chest Press (rack),58,247,735207.70534722228,15,0,2753
singleonly_subject059_Chest_Press_(rack)_record0001,Chest Press (rack),59,248,735209.5643981481,16,0,3070
singleonly_subject059_Chest_Press_(rack)_record0002,Chest Press (rack),59,248,735215.56483796297,16,0,2065
singleonly_subject069_Chest_Press_(rack)_record0001,Chest Press (rack),69,543,735201.38824074075,9,0,1919
singleonly_subject069_Chest_Press_(rack)_record0002,Chest Press (rack),69,543,735201.38824074075,13,0,1938
singleonly_subject076_Chest_Press_(rack)_record0001,Chest Press (rack),76,454,735221.6968634259,20,0,2098
singleonly_subject080_Chest_Press_(rack)_record0001,Chest Press (rack),80,560,735203.69283564819,15,0,1859
singleonly_subject081_Chest_Press_(rack)_record0001,Chest Press (rack),81,536,735194.38187499996,21,0,2594
singleonly_subject083_Chest_Press_(rack)_record0001,Chest Press (rack),83,509,735206.57260416669,15,0,2685
singleonly_subject086_Chest_Press_(rack)_record0001,Chest Press (rack),86,570,735189.38871527778,20,0,3688
singleonly_subject086_Chest_Press_(rack)_record0002,Chest Press (rack),86,570,735215.37854166667,21,0,2879
singleonly_subject087_Chest_Press_(rack)_record0001,Chest Press (rack),87,576,735189.45493055554,20,0,3313
singleonly_subject089_Chest_Press_(rack)_record0001,Chest Press (rack),89,579,735201.45528935187,15,0,2183
singleonly_subject089_Chest_Press_(rack)_record0002,Chest Press (rack),89,579,735201.45528935187,11,0,1622
singleonly_subject089_Chest_Press_(rack)_record0003,Chest Press (rack),89,579,735215.6956018518,14,0,1604
singleonly_subject089_Chest_Press_(rack)_record0004,Chest Press (rack),89,579,735215.6956018518,9,0,1192
singleonly_subject091_Chest_Press_(rack)_record0001,Chest Press (rack),91,564,735202.44246527774,20,0,2300
singleonly_subject092_Chest_Press_(rack)_record0001,Chest Press (rack),92,231,735210.57200231485,21,0,3218
singleonly_subject093_Chest_Press_(rack)_record0001,Chest Press (rack),93,549,735189.67325231479,3,0,356
singleonly_subject093_Chest_Press_(rack)_record0002,Chest Press (rack),93,549,735189.67325231479,20,0,2757
singleonly_subject094_Chest_Press_(rack)_record0001,Chest Press (rack),94,590,735210.64305555553,20,0,2452
singleonly_subject001_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,1,3,735173.48251157405,15,0,1740
singleonly_subject007_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,7,81,735181.67620370374,20,0,5363
singleonly_subject014_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,14,23,735158.45910879632,10,0,1856
singleonly_subject014_Squat_Rack_Shoulder_Press_record0002,Squat Rack Shoulder Press,14,23,735158.45910879632,5,0,900
singleonly_subject015_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,15,76,735158.55993055552,15,0,2182
singleonly_subject033_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,33,502,735161.61280092597,15,1,2122
singleonly_subject053_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,53,533,735160.38216435187,14,0,4139
singleonly_subject054_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,54,534,735160.44792824076,2,0,650
singleonly_subject054_Squat_Rack_Shoulder_Press_record0002,Squat Rack Shoulder Press,54,534,735160.44792824076,18,0,4200
singleonly_subject055_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,55,537,735161.45284722222,22,0,4045
singleonly_subject057_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,57,525,735179.54924768524,20,0,2847
singleonly_subject057_Squat_Rack_Shoulder_Press_record0002,Squat Rack Shoulder Press,57,525,735187.67422453698,20,0,2563
singleonly_subject065_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,65,528,735161.54792824073,16,0,4289
singleonly_subject066_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,66,535,735160.61315972218,5,0,1000
