record_uid,subject_id,axis,rep_index,labelled_reps,detected_reps,push_duration_s,half,rise_fraction,progress_rate_per_s,dynamic_accel_rms_g,mean_abs_dynamic_accel_g,peak_dynamic_accel_g
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,1,20,20,1.1,first,0.4991911228793268,0.9076202234169578,0.16503171110616216,0.14124770856500407,0.3237952629712372
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,1,20,20,1.1,second,0.5008088771206731,0.9105615947648602,0.17496460852895118,0.1543482181800462,0.31194333660635354
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,2,20,20,1.02,first,0.4914820070357641,0.9636902098740473,0.24471985516554443,0.20933942847126538,0.5210238644748459
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,2,20,20,1.02,second,0.5085179929642358,0.9970941038514428,0.2005432996564742,0.1806528226221301,0.331343752615064
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,3,20,20,1.2,first,0.5927422756225756,0.9879037927042927,0.19480134553971187,0.16962085028162613,0.4387838827800058
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,3,20,20,1.2,second,0.40725772437742436,0.678762873962374,0.19499509635354917,0.18144827764678326,0.2990429447992611
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,4,20,20,1.06,first,0.45990298612349684,0.8677414832518808,0.2077199033251361,0.18882847282905355,0.3450465572786814
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,4,20,20,1.06,second,0.5400970138765031,1.0190509695783077,0.16707669039317427,0.14309527281712542,0.3376554477846321
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,5,20,20,1.06,first,0.5690070141334869,1.0735981398745034,0.1958015202484687,0.16401595896993307,0.39974148885284244
singleonly_subject001_Chest_Press_(rack)_record0001,3,accel_x_g,5,20,20,1.06,second,0.43099298586651313,0.8131943129556851,0.18262089364073272,0.16120183287288994,0.34852575465013125
