record_uid,aX_tempo_s,aYZPC1_tempo_s,gPC1_tempo_s,exercise
singleonly_subject001_Chest_Press_(rack)_record0001,1.76,1.76,1.76,Chest Press (rack)
singleonly_subject001_Chest_Press_(rack)_record0002,2.06,2.04,2.06,Chest Press (rack)
singleonly_subject007_Chest_Press_(rack)_record0001,3.8,3.8,3.76,Chest Press (rack)
singleonly_subject016_Chest_Press_(rack)_record0001,2.24,2.28,2.28,Chest Press (rack)
singleonly_subject017_Chest_Press_(rack)_record0001,2.52,2.56,2.56,Chest Press (rack)
singleonly_subject033_Chest_Press_(rack)_record0001,1.98,2.0,2.0,Chest Press (rack)
singleonly_subject035_Chest_Press_(rack)_record0001,1.78,1.78,1.76,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0001,1.94,3.78,1.96,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0002,1.96,2.02,1.92,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0003,1.98,1.96,1.96,Chest Press (rack)
singleonly_subject058_Chest_Press_(rack)_record0001,3.54,3.58,3.54,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0001,2.4,2.36,2.38,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0002,2.6,2.54,2.6,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0001,3.4,0.72,3.34,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0002,2.56,1.48,2.56,Chest Press (rack)
singleonly_subject076_Chest_Press_(rack)_record0001,1.98,1.94,1.98,Chest Press (rack)
singleonly_subject080_Chest_Press_(rack)_record0001,2.32,2.4,2.32,Chest Press (rack)
singleonly_subject081_Chest_Press_(rack)_record0001,2.16,2.18,2.18,Chest Press (rack)
singleonly_subject083_Chest_Press_(rack)_record0001,3.58,3.6,3.5,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0001,2.62,0.54,2.64,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0002,2.4,0.52,2.42,Chest Press (rack)
singleonly_subject087_Chest_Press_(rack)_record0001,2.9,3.06,3.02,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0001,2.7,2.74,2.76,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0002,2.68,2.58,2.58,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0003,2.3,2.26,2.28,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0004,2.68,2.72,2.62,Chest Press (rack)
singleonly_subject091_Chest_Press_(rack)_record0001,2.08,2.08,2.08,Chest Press (rack)
singleonly_subject092_Chest_Press_(rack)_record0001,3.02,3.1,3.02,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0001,2.78,2.64,2.78,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0002,2.64,2.7,2.68,Chest Press (rack)
singleonly_subject094_Chest_Press_(rack)_record0001,2.0,0.5,6.04,Chest Press (rack)
singleonly_subject001_Squat_Rack_Shoulder_Press_record0001,4.54,2.3,2.3,Squat Rack Shoulder Press
