record_uid,subject_id,segment,n_reps_detected,comparison_reps_per_end,early_progress_rate,late_progress_rate,late_to_early_rate_ratio,early_rms_dynamic_g,late_rms_dynamic_g,candidate_weak_region
singleonly_subject001_Chest_Press_(rack)_record0001,3,early,20,6,0.9512743934901253,0.9351131496071552,0.9830109545746561,0.15791795057295474,0.12170373570165852,False
singleonly_subject001_Chest_Press_(rack)_record0001,3,middle,20,6,1.0647978856556743,1.1714940858388792,1.1002032419678445,0.3489045738250025,0.2909571383401978,False
singleonly_subject001_Chest_Press_(rack)_record0001,3,late,20,6,0.7368984625010402,0.6689574951317141,0.90780145321686,0.5087806008833942,0.4891757949682274,False
singleonly_subject001_Chest_Press_(rack)_record0002,3,early,14,5,1.4830728233893493,1.6606494247675267,1.1197355912519196,0.21086542614034096,0.19062429834858455,False
singleonly_subject001_Chest_Press_(rack)_record0002,3,middle,14,5,0.5202316740521058,0.4398201786244851,0.8454313732931863,0.2631607760578276,0.2862898332539268,False
singleonly_subject001_Chest_Press_(rack)_record0002,3,late,14,5,0.9018648569932071,0.316777235390123,0.3512469001688897,0.3054651430773557,0.3482257605071672,True
singleonly_subject016_Chest_Press_(rack)_record0001,10004,early,19,6,0.7202346154520509,0.7037117247777191,0.9770590161596701,0.07913369797165992,0.08831368413580348,False
singleonly_subject016_Chest_Press_(rack)_record0001,10004,middle,19,6,0.638704327817987,0.7137713940984398,1.1175302295772838,0.1911670839697743,0.17181405734442418,False
singleonly_subject016_Chest_Press_(rack)_record0001,10004,late,19,6,0.6385553983035872,0.977800152050857,1.5312691031170067,0.2697948549957493,0.29012618947795743,False
singleonly_subject017_Chest_Press_(rack)_record0001,10005,early,13,4,0.4576157216921196,0.4097629932252558,0.8954303224331555,0.0693499336662093,0.0683602805193253,False
singleonly_subject017_Chest_Press_(rack)_record0001,10005,middle,13,4,1.1576999965298973,1.171252694070807,1.0117065712892224,0.2289837004438795,0.20932280723176336,False
singleonly_subject017_Chest_Press_(rack)_record0001,10005,late,13,4,0.933647415418536,0.7413350023149408,0.794020301531724,0.4512771867673361,0.42239818292821957,True
singleonly_subject033_Chest_Press_(rack)_record0001,502,early,22,7,1.1756936896076042,1.1419810488190834,0.971325319607888,0.18316800700213035,0.17712492757330722,False
singleonly_subject033_Chest_Press_(rack)_record0001,502,middle,22,7,0.4636857424888003,0.9793676357661293,2.11213661759243,0.3462900194647844,0.34676680666965715,False
singleonly_subject033_Chest_Press_(rack)_record0001,502,late,22,7,0.8807470456532789,0.6278635782991987,0.7128761673375716,0.4186188445584446,0.4805280501389157,True
singleonly_subject035_Chest_Press_(rack)_record0001,512,early,18,6,0.6447294647209814,1.013186569075827,1.5714910276580927,0.08930085972726776,0.1639444055651766,False
singleonly_subject035_Chest_Press_(rack)_record0001,512,middle,18,6,1.0036044165222917,0.6014247892174517,0.5992647893096363,0.15197336372246764,0.22656296837760104,True
singleonly_subject035_Chest_Press_(rack)_record0001,512,late,18,6,1.6334648042733435,1.462249583388961,0.8951827915505357,0.3116745281853683,0.3708172546493428,False
singleonly_subject052_Chest_Press_(rack)_record0001,526,early,8,3,0.8916536721816334,1.066168375857502,1.1957202769645738,0.10305641322309925,0.17064726645553796,False
singleonly_subject052_Chest_Press_(rack)_record0001,526,middle,8,3,0.9403891587911181,0.951327662280688,1.0116318902523627,0.21954179954940836,0.28717796534628326,False
singleonly_subject052_Chest_Press_(rack)_record0001,526,late,8,3,0.8465285975986768,2.3378631315291907,2.7617060287873785,0.41073902895422515,0.4233377044257835,False
singleonly_subject052_Chest_Press_(rack)_record0002,526,early,7,3,1.6117392686153509,1.3645055021144823,0.8466043662798712,0.6215055465667539,0.8012665602322242,True
singleonly_subject052_Chest_Press_(rack)_record0002,526,middle,7,3,0.0,0.0,,0.503663567258954,0.6490087728862832,False
singleonly_subject052_Chest_Press_(rack)_record0002,526,late,7,3,0.22098363085965075,0.2312391787365817,1.0464086314313676,0.5866903954927718,0.7426715551355804,False
singleonly_subject052_Chest_Press_(rack)_record0003,526,early,9,3,1.4725181923843154,1.3185010591340838,0.8954056160074698,0.6634066722637011,0.17236169174859034,True
singleonly_subject052_Chest_Press_(rack)_record0003,526,middle,9,3,0.0,1.2171112553956323,,0.55362081304703,0.2610177078232162,False
singleonly_subject052_Chest_Press_(rack)_record0003,526,late,9,3,0.19414847428235124,1.774408536431187,9.139441054018558,0.6446491716992214,0.3760446422258675,False
singleonly_subject058_Chest_Press_(rack)_record0001,247,early,14,5,0.31526964131293816,0.34736952313972574,1.1018172307777807,0.08763731411924974,0.06979904429348606,False
singleonly_subject058_Chest_Press_(rack)_record0001,247,middle,14,5,0.0,0.04018996983471053,,0.08731706673761666,0.09956033507158497,False
singleonly_subject058_Chest_Press_(rack)_record0001,247,late,14,5,0.9239048036458702,1.1495092506983486,1.244185814558176,0.30308919047955585,0.2270920463560543,False
singleonly_subject059_Chest_Press_(rack)_record0001,248,early,23,7,1.2258607688185783,1.5012504129825703,1.2246500183127635,0.1446649690430589,0.08339405103772016,False
singleonly_subject059_Chest_Press_(rack)_record0001,248,middle,23,7,0.8744928873818638,1.1007356999772706,1.2587131534857339,0.1975186279556848,0.16375529159892244,False
singleonly_subject059_Chest_Press_(rack)_record0001,248,late,23,7,0.2405016664351485,0.4261154376630412,1.771777484868046,0.23890156252780204,0.20849205257894576,False
singleonly_subject059_Chest_Press_(rack)_record0002,248,early,14,5,0.9859167926360486,0.7407981670529431,0.7513800075078029,0.08218559831309422,0.07823749667061047,False
singleonly_subject059_Chest_Press_(rack)_record0002,248,middle,14,5,1.7965876377639283,0.0,0.0,0.11741246678784384,0.09587911552370355,True
singleonly_subject059_Chest_Press_(rack)_record0002,248,late,14,5,0.9880143356876067,0.9445950913740233,0.9560540340911493,0.22804388841216425,0.1968214814454046,False
singleonly_subject069_Chest_Press_(rack)_record0001,543,early,10,3,0.7875080329568359,0.7730181979529505,0.9816003972054979,0.20016492019374324,0.16182685837998206,False
singleonly_subject069_Chest_Press_(rack)_record0001,543,middle,10,3,0.25629661333613774,0.0,0.0,0.2286324418247715,0.16572111891302335,True
singleonly_subject069_Chest_Press_(rack)_record0001,543,late,10,3,0.19637703005594026,0.3812656957208571,1.9414984309124605,0.2801945474033989,0.3102000114760152,False
singleonly_subject069_Chest_Press_(rack)_record0002,543,early,10,3,0.7090702816113283,0.7399282825929563,1.0435189596601124,0.1448402224042512,0.15038406041161081,False
singleonly_subject069_Chest_Press_(rack)_record0002,543,middle,10,3,0.2825326648695867,0.2677873188499804,0.9478101194903868,0.32758202245847035,0.27850308067508345,False
singleonly_subject069_Chest_Press_(rack)_record0002,543,late,10,3,0.5726242243170413,0.47767714549431317,0.834189552605865,0.3603273457080121,0.3271015169163838,True
singleonly_subject076_Chest_Press_(rack)_record0001,454,early,19,6,1.4339808399399883,1.4088395409591097,0.9824674791457251,0.3287492012105657,0.3883218059105893,False
singleonly_subject076_Chest_Press_(rack)_record0001,454,middle,19,6,0.08015903257497582,0.18481983236325808,2.305664457594208,0.40004370585573024,0.4377301302435097,False
singleonly_subject076_Chest_Press_(rack)_record0001,454,late,19,6,1.244345372010407,1.0342929268210368,0.8311944176318169,0.5652690557065346,0.6218831440096069,True
singleonly_subject080_Chest_Press_(rack)_record0001,560,early,14,5,1.2584812925973616,1.3613863005563827,1.0817691995616692,0.08673007270431826,0.07161604244375737,False
singleonly_subject080_Chest_Press_(rack)_record0001,560,middle,14,5,0.21179104743559043,0.6484052696194224,3.061532947074235,0.16646920789227745,0.14388211735635098,False
singleonly_subject080_Chest_Press_(rack)_record0001,560,late,14,5,0.4410568049146051,0.4549383530833018,1.0314733794241864,0.19746530579387114,0.18209889969779877,False
singleonly_subject081_Chest_Press_(rack)_record0001,536,early,20,6,0.6601379575706099,0.7321091095705667,1.1090244109955738,0.1340206243362379,0.11052374088385433,False
singleonly_subject081_Chest_Press_(rack)_record0001,536,middle,20,6,0.3470094097158129,0.63840002799437,1.83971964482806,0.19026891813112967,0.20627478637059676,False
