record_uid,aX_tempo_s,aYZPC1_tempo_s,gPC1_tempo_s,exercise
singleonly_subject001_Chest_Press_(rack)_record0001,1.76,1.76,1.76,Chest Press (rack)
singleonly_subject001_Chest_Press_(rack)_record0002,2.06,0.22,2.06,Chest Press (rack)
singleonly_subject007_Chest_Press_(rack)_record0001,0.2,0.2,0.2,Chest Press (rack)
singleonly_subject016_Chest_Press_(rack)_record0001,2.24,0.2,2.28,Chest Press (rack)
singleonly_subject017_Chest_Press_(rack)_record0001,2.52,2.56,2.56,Chest Press (rack)
singleonly_subject033_Chest_Press_(rack)_record0001,1.98,2.0,2.0,Chest Press (rack)
singleonly_subject035_Chest_Press_(rack)_record0001,1.78,1.78,1.76,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0001,1.94,0.28,1.96,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0002,1.96,2.02,1.92,Chest Press (rack)
singleonly_subject052_Chest_Press_(rack)_record0003,1.98,1.96,1.96,Chest Press (rack)
singleonly_subject058_Chest_Press_(rack)_record0001,0.2,0.2,3.54,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0001,2.4,0.2,2.38,Chest Press (rack)
singleonly_subject059_Chest_Press_(rack)_record0002,2.6,2.54,2.6,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0001,0.24,0.22,0.2,Chest Press (rack)
singleonly_subject069_Chest_Press_(rack)_record0002,2.56,0.36,2.56,Chest Press (rack)
singleonly_subject076_Chest_Press_(rack)_record0001,1.98,1.94,1.98,Chest Press (rack)
singleonly_subject080_Chest_Press_(rack)_record0001,0.2,0.2,2.32,Chest Press (rack)
singleonly_subject081_Chest_Press_(rack)_record0001,2.16,0.2,0.2,Chest Press (rack)
singleonly_subject083_Chest_Press_(rack)_record0001,3.58,0.24,0.2,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0001,0.22,0.2,2.64,Chest Press (rack)
singleonly_subject086_Chest_Press_(rack)_record0002,2.4,0.2,2.42,Chest Press (rack)
singleonly_subject087_Chest_Press_(rack)_record0001,2.9,0.2,3.02,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0001,2.7,0.2,2.76,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0002,0.2,0.2,2.58,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0003,2.3,2.26,2.28,Chest Press (rack)
singleonly_subject089_Chest_Press_(rack)_record0004,0.2,0.2,2.62,Chest Press (rack)
singleonly_subject091_Chest_Press_(rack)_record0001,2.08,0.2,2.08,Chest Press (rack)
singleonly_subject092_Chest_Press_(rack)_record0001,0.2,0.2,0.2,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0001,0.2,0.2,0.2,Chest Press (rack)
singleonly_subject093_Chest_Press_(rack)_record0002,2.64,0.2,2.68,Chest Press (rack)
singleonly_subject094_Chest_Press_(rack)_record0001,2.0,0.2,6.04,Chest Press (rack)
singleonly_subject001_Squat_Rack_Shoulder_Press_record0001,4.54,2.3,2.3,Squat Rack Shoulder Press
singleonly_subject007_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0001,0.26,0.24,1.76,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0002,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject015_Squat_Rack_Shoulder_Press_record0001,5.78,2.9,2.88,Squat Rack Shoulder Press
singleonly_subject033_Squat_Rack_Shoulder_Press_record0001,2.58,0.2,2.56,Squat Rack Shoulder Press
singleonly_subject053_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0002,0.22,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject055_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,1.36,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0002,2.4,2.5,2.48,Squat Rack Shoulder Press
singleonly_subject065_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0001,8.12,0.24,4.14,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0002,3.74,0.2,3.76,Squat Rack Shoulder Press
singleonly_subject067_Squat_Rack_Shoulder_Press_record0001,0.2,0.26,0.2,Squat Rack Shoulder Press
singleonly_subject068_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject069_Squat_Rack_Shoulder_Press_record0001,0.22,0.2,3.66,Squat Rack Shoulder Press
singleonly_subject071_Squat_Rack_Shoulder_Press_record0001,0.24,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject072_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject073_Squat_Rack_Shoulder_Press_record0001,3.08,3.0,3.02,Squat Rack Shoulder Press
singleonly_subject074_Squat_Rack_Shoulder_Press_record0001,3.32,3.32,3.32,Squat Rack Shoulder Press
singleonly_subject075_Squat_Rack_Shoulder_Press_record0001,0.22,0.22,0.2,Squat Rack Shoulder Press
singleonly_subject076_Squat_Rack_Shoulder_Press_record0001,2.02,1.96,2.02,Squat Rack Shoulder Press
singleonly_subject077_Squat_Rack_Shoulder_Press_record0001,0.2,2.6,2.6,Squat Rack Shoulder Press
singleonly_subject078_Squat_Rack_Shoulder_Press_record0001,0.22,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject079_Squat_Rack_Shoulder_Press_record0001,0.22,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject080_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject081_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject082_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,1.16,Squat Rack Shoulder Press
singleonly_subject083_Squat_Rack_Shoulder_Press_record0001,5.18,0.22,5.22,Squat Rack Shoulder Press
singleonly_subject085_Squat_Rack_Shoulder_Press_record0001,0.24,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject088_Squat_Rack_Shoulder_Press_record0001,0.2,0.2,0.2,Squat Rack Shoulder Press
singleonly_subject001_Lateral_Raise_record0001,0.2,0.98,0.2,Lateral Raise
singleonly_subject007_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject014_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject015_Lateral_Raise_record0001,1.9,1.9,1.9,Lateral Raise
singleonly_subject033_Lateral_Raise_record0001,1.64,1.66,1.64,Lateral Raise
singleonly_subject053_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject054_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject055_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject055_Lateral_Raise_record0002,0.2,0.2,0.2,Lateral Raise
singleonly_subject057_Lateral_Raise_record0001,1.88,1.9,1.88,Lateral Raise
singleonly_subject057_Lateral_Raise_record0002,2.04,2.02,2.02,Lateral Raise
singleonly_subject065_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject066_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject067_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject068_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject069_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject070_Lateral_Raise_record0001,1.7,1.68,1.68,Lateral Raise
singleonly_subject070_Lateral_Raise_record0002,1.58,0.2,1.58,Lateral Raise
singleonly_subject071_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject072_Lateral_Raise_record0001,2.62,2.62,2.64,Lateral Raise
singleonly_subject073_Lateral_Raise_record0001,2.76,2.78,2.76,Lateral Raise
singleonly_subject074_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject075_Lateral_Raise_record0001,1.82,1.84,1.82,Lateral Raise
singleonly_subject076_Lateral_Raise_record0001,1.56,1.54,1.56,Lateral Raise
singleonly_subject077_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject078_Lateral_Raise_record0001,0.2,2.96,0.2,Lateral Raise
singleonly_subject078_Lateral_Raise_record0002,0.2,0.2,0.2,Lateral Raise
singleonly_subject079_Lateral_Raise_record0001,1.94,1.94,1.92,Lateral Raise
singleonly_subject080_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject081_Lateral_Raise_record0001,2.3,2.3,2.3,Lateral Raise
singleonly_subject081_Lateral_Raise_record0002,2.12,2.12,2.12,Lateral Raise
singleonly_subject082_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject083_Lateral_Raise_record0001,0.2,0.2,0.2,Lateral Raise
singleonly_subject085_Lateral_Raise_record0001,0.2,2.76,0.2,Lateral Raise
